Name;Population;Degree centrality;Betweenness centrality;Eigenvector centrality
Athenae;58.114;4;438,104656;0,20886
Chalcis;2.290;5;230,716898;0,206409
Corinthia;63.700;3;2123,043135;0,067094
Delos;18.364;21;8344,908248;0,869239
Delphi;3.937;4;1931,259829;0,036545
Demetrias;34.713;4;549,943342;0,147291
Eleusis;458;3;456,324841;0,083794
Hephaestia;4.291;4;271,354265;0,069938
Naxus;2.290;1;0;0,132345
Nicopolis (Achaea);41.323;4;3380,044167;0,049677
Thebae;3.937;2;269,499306;0,025752
Alexandria (Aegyptus);410.535;7;92278,65801;0,383069
Aphroditopolis;26.498;2;3683,267179;0,016535
Arsinoe;80.821;2;2133,824394;0,013294
Bubastis;30.830;3;2495,373258;0,05005
Elephantine;33.807;2;676;0,007593
Heliopolis (Aegyptus);17.084;2;2447,204507;0,040689
Heracleopolis Magna;33.807;3;5169,091573;0,016492
Hermopolis Magna;35.321;2;3841,111414;0,009918
Memphis;58.114;4;4338,575681;0,033686
Oxyrhynchus;39.961;2;4487,111414;0,011318
Capsa;3.590;2;433,512406;0,022281
Carthago;102.170;11;25425,73014;0,392011
Hadrumetum;35.626;5;3260,101965;0,113802
Lepcis Magna;153.761;7;6699,792099;0,207434
Meninx;6.368;4;2050,461869;0,133357
Oea;8.209;4;8232,781105;0,082035
Oea;8.209;2;157,019743;0,049318
Sabratha;4.837;3;8,533333;0,051672
Sufetula;7.037;2;996,349623;0,031914
Thelepte;43.132;2;24,42619;0,016123
Augusta Taurinorum;8.633;2;1539,602263;0,018356
Segusio;563;2;1900,879496;0,01608
Augusta Praetoria;5.975;3;1050,861576;0,017523
Bostra;10.160;3;151,842355;0,02851
Capitolias;26.498;3;3391,852761;0,030166
Gadara;3.420;2;353,154953;0,021869
Petra;9.958;3;1378,057546;0,023347
Adramyttium;182;3;86,76406;0,061738
Bargylia;2.290;2;1,75;0,101961
Caunus;4.113;3;21,013041;0,257225
Cnidus;9.498;5;218,318149;0,338529
Cos;22.882;7;1942,115411;0,532172
Cyzicus;17.084;4;199,743282;0,066078
Ephesus;71.587;8;7386,744894;0,495004
Halicarnassus;41.222;3;1,833333;0,190042
Ilium;3.085;2;64,665354;0,039534
Laodicea (Asia);20.725;3;737,413114;0,02062
Magnesia (Asia) (1);15.580;2;837,045669;0,081097
Miletus;18.882;1;0;0,061545
Myndus;14.111;8;2837,54329;0,404442
Mytilene;22.067;3;210,885877;0,105984
Pergamum;56.053;3;29,252298;0,051679
Rhodus;130.405;20;66617,09883;1
